The Stainless Steel Rat;1964;4
The Stainless Steel Rat's Revenge;1970;5
The Stainless Steel Rat Saves the World;1972;6
The Stainless Steel Rat Wants You;1978;7
The Stainless Steel Rat for President;1982;8
A Stainless Steel Rat Is Born;1985;1
The Stainless Steel Rat Gets Drafted;1987;2
The Golden Years of the Stainless Steel Rat;1993;12
The Stainless Steel Rat Sings the Blues;1994;3
The Stainless Steel Rat Goes to Hell;1996;9
The Stainless Steel Rat Joins the Circus;1999;10
The Stainless Steel Rat Returns;2010;11